代码,日期,WMA3,WMA5,WMA10,WMA20,WMA差值5-20,WMA差值5-20(%),WMA差值3-5,多空排列,排列评分
159766,20250113,0.647167,0.6516,0.661691,0.684252,-0.032652,-4.7719,-0.004433,强势空头排列,-1.0
159766,20250110,0.6525,0.656467,0.668309,0.690462,-0.033995,-4.9235,-0.003967,强势空头排列,-1.0
159766,20250109,0.662167,0.6636,0.676473,0.69741,-0.03381,-4.8479,-0.001433,强势空头排列,-1.0
159766,20250108,0.6645,0.6678,0.682782,0.703314,-0.035514,-5.0495,-0.0033,强势空头排列,-1.0
159766,20250107,0.667,0.6738,0.689636,0.709343,-0.035543,-5.0107,-0.0068,强势空头排列,-1.0
159766,20250106,0.672333,0.6816,0.696709,0.715324,-0.033724,-4.7145,-0.009267,强势空头排列,-1.0
159766,20250103,0.686,0.694667,0.7056,0.721952,-0.027285,-3.7793,-0.008667,强势空头排列,-1.0
159766,20250102,0.702,0.7078,0.714036,0.727967,-0.020167,-2.7703,-0.0058,强势空头排列,-1.0
159766,20241231,0.711833,0.714733,0.719182,0.73189,-0.017157,-2.3442,-0.0029,中等空头排列,-0.6
159766,20241230,0.7195,0.719867,0.723418,0.735067,-0.0152,-2.0678,-0.000367,中等空头排列,-0.6
159766,20241227,0.723333,0.722333,0.727091,0.73749,-0.015157,-2.0552,0.001,中等空头排列,-0.6
159766,20241226,0.719333,0.720533,0.729091,0.738548,-0.018015,-2.4392,-0.0012,强势空头排列,-1.0
159766,20241225,0.719833,0.723,0.733818,0.740457,-0.017457,-2.3576,-0.003167,中等空头排列,-0.6
159766,20241224,0.7235,0.7276,0.739509,0.742462,-0.014862,-2.0017,-0.0041,中等空头排列,-0.6
159766,20241223,0.727167,0.732,0.744764,0.743929,-0.011929,-1.6035,-0.004833,震荡排列,0.0
159766,20241220,0.737167,0.741333,0.751073,0.74569,-0.004357,-0.5843,-0.004166,震荡排列,0.0
159766,20241219,0.7415,0.748467,0.754764,0.745838,0.002629,0.3525,-0.006967,震荡排列,0.0
159766,20241218,0.749667,0.757,0.757473,0.745481,0.011519,1.5452,-0.007333,震荡排列,0.0
159766,20241217,0.7595,0.764267,0.7584,0.744314,0.019953,2.6807,-0.004767,强势多头排列,1.0
159766,20241216,0.775,0.7718,0.759018,0.742976,0.028824,3.8795,0.0032,强势多头排列,1.0
159766,20241213,0.7745,0.7676,0.753873,0.738648,0.028952,3.9196,0.0069,强势多头排列,1.0
159766,20241212,0.768,0.76,0.747182,0.73371,0.02629,3.5832,0.008,强势多头排列,1.0
159766,20241211,0.753,0.747733,0.738836,0.728162,0.019571,2.6877,0.005267,强势多头排列,1.0
159766,20241210,0.7435,0.738533,0.732982,0.724167,0.014366,1.9838,0.004967,中等多头排列,0.6
159766,20241209,0.735833,0.731933,0.7286,0.721267,0.010666,1.4788,0.0039,中等多头排列,0.6
159766,20241206,0.730833,0.729267,0.725745,0.71951,0.009757,1.3561,0.001566,中等多头排列,0.6
159766,20241205,0.722333,0.724333,0.721527,0.717486,0.006847,0.9543,-0.002,温和多头排列,0.3
